preco,detalhes.Condomínio:,classe
4.5e+06,900,1
4.5e+06,4820,1
4.5e+06,3900,1
4.8e+06,2300,1
4.89e+06,3213,1
4.9e+06,2900,1
5e+06,3300,1
6e+06,3686,1
1,74,2
16,1,2
16,1,2
16,1,2
100,100,2
100,1,2
110,160,2
120,300,2
120,198,2
139,250,2
139,250,2
140,130,2
150,30,2
150,337,2
155,260,2
155,160,2
155,269,2
160,185,2
160,170,2
165,30,2
165,30,2
170,260,2
175,350,2
179,30,2
180,400,2
180,165,2
195,192,2
199,200,2
200,10,2
200,310,2
200,250,2
205,230,2
210,360,2
210,400,2
215,330,2
220,150,2
220,320,2
220,320,2
225,296,2
230,280,2
240,490,2
250,300,2
280,192,2
285,285,2
290,407,2
290,470,2
290,270,2
295,550,2
299,180,2
300,390,2
320,250,2
320,320,2
330,500,2
340,450,2
350,520,2
350,320,2
350,350,2
374,320,2
380,400,2
399,500,2
400,400,2
400,400,2
420,80,2
430,540,2
450,832,2
450,30,2
450,150,2
465,1700,2
470,670,2
480,110,2
499,600,2
500,50,2
500,400,2
500,190,2
500,66,2
500,200,2
500,80,2
500,110,2
500,240,2
500,376,2
500,50,2
500,200,2
550,177,2
550,300,2
550,300,2
550,140,2
550,285,2
550,214,2
550,206,2
550,240,2
550,1,2
550,240,2
550,160,2
550,135,2
550,210,2
550,884,2
550,45,2
550,200,2
580,260,2
580,220,2
595,214,2
600,200,2
600,200,2
600,236,2
600,100,2
600,100,2
600,120,2
600,100,2
600,333,2
600,440,2
600,250,2
600,460,2
600,70,2
600,235,2
600,200,2
600,160,2
600,120,2
600,262,2
600,150,2
600,220,2
600,110,2
600,280,2
600,355,2
600,160,2
600,200,2
600,200,2
600,324,2
600,300,2
600,60,2
600,118,2
600,286,2
600,245,2
607,360,2
610,180,2
620,248,2
620,180,2
620,187,2
650,120,2
650,350,2
650,300,2
650,590,2
650,150,2
650,220,2
650,501,2
650,190,2
650,100,2
650,100,2
650,12900,2
650,180,2
650,390,2
650,200,2
650,200,2
650,365,2
650,436,2
660,60,2
660,290,2
670,230,2
690,420,2
690,40,2
690,260,2
700,200,2
700,290,2
700,210,2
700,250,2
700,254,2
700,200,2
700,280,2
700,99,2
700,250,2
700,150,2
700,660,2
700,180,2
700,113,2
700,148,2
700,220,2
700,212,2
700,100,2
700,170,2
700,240,2
700,290,2
715,200,2
715,210,2
720,460,2
750,170,2
750,170,2
750,80,2
750,100,2
750,205,2
750,50,2
750,860,2
750,80,2
750,625,2
750,1,2
750,330,2
750,1,2
750,260,2
750,349,2
750,100,2
750,202,2
750,250,2
750,413,2
750,520,2
760,265,2
760,252,2
780,300,2
780,220,2
790,300,2
790,220,2
800,170,2
800,350,2
800,342,2
800,400,2
800,40,2
800,371,2
800,340,2
800,185,2
800,300,2
800,393,2
800,657,2
800,210,2
800,168,2
800,300,2
800,253,2
800,100,2
800,350,2
800,150,2
800,180,2
800,200,2
800,240,2
800,387,2
800,700,2
800,1,2
800,680,2
800,72,2
800,800,2
800,168,2
800,170,2
800,350,2
800,120,2
800,300,2
800,450,2
800,260,2
810,190,2
820,220,2
825,20,2
830,360,2
840,311,2
850,430,2
850,300,2
850,500,2
850,332,2
850,100,2
850,350,2
850,280,2
850,220000,2
850,640,2
850,330,2
850,370,2
850,150,2
850,69,2
850,100,2
850,225,2
850,430,2
850,430,2
850,215,2
850,300,2
850,250,2
850,400,2
850,281,2
850,250,2
850,300,2
850,450,2
860,290,2
866,200,2
870,1,2
875,335,2
880,250,2
890,350,2
899,450,2
900,420,2
900,230,2
900,540,2
900,180,2
900,100,2
900,100,2
900,800,2
900,250,2
900,562,2
900,300,2
900,600,2
900,270,2
900,280,2
900,250,2
900,275,2
900,500,2
900,278,2
900,430,2
900,50,2
900,350,2
900,296,2
900,240,2
900,480,2
900,380,2
900,265,2
900,200,2
900,1850,2
900,503,2
900,136,2
900,290,2
900,255,2
900,267,2
900,230,2
900,250,2
900,220,2
900,400,2
900,298,2
900,70,2
900,370,2
920,240,2
950,654,2
950,620,2
950,342,2
950,305,2
950,320,2
950,330,2
950,288,2
950,491,2
950,365,2
950,342,2
950,273,2
950,338,2
950,235,2
950,430,2
950,340,2
950,300,2
950,490,2
950,180,2
960,300,2
975,360,2
980,230,2
980,200,2
990,260,2
1000,410,2
1000,680,2
1000,480,2
1000,254,2
1000,405,2
1000,100,2
1000,209,2
1000,300,2
1000,350,2
1000,300,2
1000,250,2
1000,800,2
1000,440,2
1000,450,2
1000,450,2
1000,405,2
1000,640,2
1000,250,2
1000,430,2
1000,280,2
1000,327,2
1000,150,2
1000,270,2
1000,240,2
1000,250,2
1000,300,2
1000,290,2
1000,400,2
1000,709,2
1000,341,2
1000,289,2
1000,225,2
1000,410,2
1000,230,2
1000,220,2
1000,215,2
1000,407,2
1000,225,2
1000,312,2
1000,300,2
1000,300,2
1000,350,2
1000,312,2
1000,185,2
1000,520,2
1000,750,2
1000,240,2
1000,460,2
1000,250,2
1000,160,2
1000,340,2
1000,360,2
1000,1,2
1000,290,2
1000,390,2
1000,637,2
1000,50,2
1050,480,2
1050,285,2
1050,300,2
1100,330,2
1100,350,2
1100,412,2
1100,290,2
1100,300,2
1100,1,2
1100,400,2
1100,470,2
1100,70,2
1100,555,2
1100,340,2
1100,120,2
1100,440,2
1100,300,2
1100,150,2
1100,350,2
1100,400,2
1100,290,2
1100,200,2
1100,290,2
1100,300,2
1100,210,2
1100,645,2
1100,355,2
1100,310,2
1100,270,2
1100,350,2
1100,345,2
1100,242,2
1100,313,2
1100,200,2
1100,280,2
1100,470,2
1100,280,2
1100,252,2
1100,200,2
1100,450,2
1100,315,2
1120,30,2
1150,480,2
1150,389,2
1150,100,2
1150,320,2
1150,100,2
1150,580,2
1150,350,2
1150,400,2
1150,250,2
1180,614,2
1190,258,2
1200,320,2
1200,602,2
1200,350,2
1200,390,2
1200,162,2
1200,617,2
1200,300,2
1200,245,2
1200,980,2
1200,780,2
1200,350,2
1200,256,2
1200,537,2
1200,496,2
1200,496,2
1200,300,2
1200,361,2
1200,300,2
1200,532,2
1200,600,2
1200,10,2
1200,50,2
1200,300,2
1200,750,2
1200,60,2
1200,100,2
1200,500,2
1200,200,2
1200,580,2
1200,200,2
1200,120,2
